infrastructure_scenario,funding_scenario,year,months_in_year,first_month_id,last_month_id,workplace_revenue,contact_center_revenue,total_revenue,cogs,sga,depreciation_and_amortization,ebit,profit_tax,net_income,operating_cash_flow,investing_cash_flow,pre_financing_cash_flow,funding_need,equity_injection,revolver_drawdown,revolver_repayment,interest_expense,ebt_after_interest,profit_tax_after_interest,net_income_after_interest,operating_cash_flow_after_interest,free_cash_flow_after_financing_costs,required_gpu,opening_cash_before_funding,closing_cash_before_funding,closing_cash_after_funding,cash,net_ppe,net_intangible_assets,total_assets,total_liabilities,total_equity,revolver_balance,closing_revolver_balance,paid_in_capital,retained_earnings,balance_check
build_own_dc,equity_only,2026,3,2026-10,2026-12,0.0,0.0,0.0,95846400.0,25506000.0,0.0,-121352400.0,0.0,-121352400.0,-121352400.0,0.0,-121352400.0,161803200.0,161803200.0,0.0,0.0,0.0,-121352400.0,0.0,-121352400.0,-121352400.0,-121352400.0,24.0,-80901600.0,-121352400.0,40450800.0,40450800.0,0.0,0.0,40450800.0,0.0,40450800.0,0.0,0.0,161803200.0,-121352400.0,0.0
build_own_dc,equity_only,2027,12,2027-01,2027-12,433862834.01,202161645.99,636024480.0,651373632.0,102024000.0,0.0,-117373152.0,12671724.0,-130044876.0,-130044876.0,0.0,-130044876.0,186570384.0,186570384.0,0.0,0.0,0.0,-117373152.0,12671724.0,-130044876.0,-130044876.0,-130044876.0,91.3,-256087104.0,-251397276.0,96976308.0,96976308.0,0.0,0.0,96976308.0,0.0,96976308.0,0.0,0.0,348373584.0,-251397276.0,0.0
build_own_dc,equity_only,2028,12,2028-01,2028-12,891591218.7,288017638.83,1179608857.48,884706639.09,102024000.0,4.05,192878214.34,48219553.6,144658660.8,144658664.85,-241.97,144658422.88,0.0,0.0,0.0,0.0,0.0,192878214.34,48219553.59,144658660.79,144658664.84,144658422.87,235.97,-119274396.43,-106738853.13,241634730.88,241634730.88,241.97,0.0,241634972.85,0.0,241634968.75,0.0,0.0,348373584.0,-106738615.25,4.1
build_own_dc,equity_only,2029,12,2029-01,2029-12,1200758163.33,202896432.76,1403654596.2,982558213.34,102024000.0,3.97,319072378.89,79768094.72,239304284.17,239304288.14,-238.06,239304050.08,0.0,0.0,0.0,0.0,0.0,319072378.89,79768094.72,239304284.17,239304288.14,239304050.08,474.03,112623173.67,132565196.91,480938780.96,480938780.96,480.03,0.0,480939260.99,0.0,480939252.92,0.0,0.0,348373584.0,132565668.92,8.07
build_own_dc,equity_only,2030,12,2030-01,2030-12,1393099741.58,209702735.99,1602802477.57,1041821609.42,102024000.0,1.0,458956867.15,114739216.76,344217650.39,344217651.39,-59.92,344217591.47,0.0,0.0,0.0,0.0,0.0,458956867.15,114739216.76,344217650.39,344217651.39,344217591.47,533.95,448097984.29,476782788.35,825156372.43,825156372.43,539.95,0.0,825156912.38,0.0,825156903.29,0.0,0.0,348373584.0,476783319.29,9.09
build_own_dc,mix,2026,3,2026-10,2026-12,0.0,0.0,0.0,95846400.0,25506000.0,0.0,-121352400.0,0.0,-121352400.0,-121352400.0,0.0,-121352400.0,163133636.9,81566818.46,81566818.46,0.0,2667116.64,-124019516.64,0.0,-124019516.64,-124019516.64,-124019516.64,24.0,-80901600.0,-121352400.0,39114120.26,39114120.26,0.0,0.0,39114120.26,81566818.45,-42452698.2,81566818.45,81566818.45,81566818.45,-124019516.65,0.0
build_own_dc,mix,2027,12,2027-01,2027-12,433862834.01,202161645.99,636024480.0,651373632.0,102024000.0,0.0,-117373152.0,12671724.0,-130044876.0,-130044876.0,0.0,-130044876.0,197659129.12,98829564.56,98829564.56,5093703.36,37415333.02,-154788485.02,5141804.56,-159930289.6,-159930289.6,-159930289.6,91.3,-256087104.0,-251397276.0,64219337.0,64219337.0,0.0,0.0,64219337.0,175302679.65,-103553423.22,175302679.65,175302679.65,180396383.02,-283949806.24,-7529919.43
build_own_dc,mix,2028,12,2028-01,2028-12,891591218.7,288017638.83,1179608857.48,884706639.09,102024000.0,4.05,192878214.34,48219553.6,144658660.8,144658664.85,-241.97,144658422.88,3963615.21,1981807.6,1981807.6,99940346.93,30303734.05,162574480.29,40643620.07,121930860.21,121930864.26,121930622.29,235.97,-119274396.43,-106738853.13,82597294.11,82597294.11,241.97,0.0,82597536.08,77344140.33,20359244.6,77344140.33,77344140.33,182378190.62,-162018946.02,-15105848.84
build_own_dc,mix,2029,12,2029-01,2029-12,1200758163.33,202896432.76,1403654596.2,982558213.34,102024000.0,3.97,319072378.89,79768094.72,239304284.17,239304288.14,-238.06,239304050.08,0.0,0.0,0.0,77344140.32,3501879.38,315570499.51,78892624.89,236677874.65,236677878.62,236677640.56,474.03,112623173.67,132565196.91,241055324.49,241055324.49,480.03,0.0,241055804.52,0.0,257037119.24,0.0,0.0,182378190.62,74658928.62,-15981314.71
build_own_dc,mix,2030,12,2030-01,2030-12,1393099741.58,209702735.99,1602802477.57,1041821609.42,102024000.0,1.0,458956867.15,114739216.76,344217650.39,344217651.39,-59.92,344217591.47,0.0,0.0,0.0,0.0,0.0,458956867.15,114739216.76,344217650.39,344217651.39,344217591.47,533.95,448097984.29,476782788.35,585272915.96,585272915.96,539.95,0.0,585273455.91,0.0,601254769.6,0.0,0.0,182378190.62,418876578.98,-15981313.69
