month_seq,year,month,month_id,month_start,is_forecast_start,is_forecast_end,forecast_year
1,2026,10,2026-10,2026-10-01,1,0,1
2,2026,11,2026-11,2026-11-01,0,0,1
3,2026,12,2026-12,2026-12-01,0,0,1
4,2027,1,2027-01,2027-01-01,0,0,2
5,2027,2,2027-02,2027-02-01,0,0,2
6,2027,3,2027-03,2027-03-01,0,0,2
7,2027,4,2027-04,2027-04-01,0,0,2
8,2027,5,2027-05,2027-05-01,0,0,2
9,2027,6,2027-06,2027-06-01,0,0,2
10,2027,7,2027-07,2027-07-01,0,0,2
11,2027,8,2027-08,2027-08-01,0,0,2
12,2027,9,2027-09,2027-09-01,0,0,2
13,2027,10,2027-10,2027-10-01,0,0,2
14,2027,11,2027-11,2027-11-01,0,0,2
15,2027,12,2027-12,2027-12-01,0,0,2
16,2028,1,2028-01,2028-01-01,0,0,3
17,2028,2,2028-02,2028-02-01,0,0,3
18,2028,3,2028-03,2028-03-01,0,0,3
19,2028,4,2028-04,2028-04-01,0,0,3
20,2028,5,2028-05,2028-05-01,0,0,3
21,2028,6,2028-06,2028-06-01,0,0,3
22,2028,7,2028-07,2028-07-01,0,0,3
23,2028,8,2028-08,2028-08-01,0,0,3
24,2028,9,2028-09,2028-09-01,0,0,3
25,2028,10,2028-10,2028-10-01,0,0,3
26,2028,11,2028-11,2028-11-01,0,0,3
27,2028,12,2028-12,2028-12-01,0,0,3
28,2029,1,2029-01,2029-01-01,0,0,4
29,2029,2,2029-02,2029-02-01,0,0,4
30,2029,3,2029-03,2029-03-01,0,0,4
31,2029,4,2029-04,2029-04-01,0,0,4
32,2029,5,2029-05,2029-05-01,0,0,4
33,2029,6,2029-06,2029-06-01,0,0,4
34,2029,7,2029-07,2029-07-01,0,0,4
35,2029,8,2029-08,2029-08-01,0,0,4
36,2029,9,2029-09,2029-09-01,0,0,4
37,2029,10,2029-10,2029-10-01,0,0,4
38,2029,11,2029-11,2029-11-01,0,0,4
39,2029,12,2029-12,2029-12-01,0,0,4
40,2030,1,2030-01,2030-01-01,0,0,5
41,2030,2,2030-02,2030-02-01,0,0,5
42,2030,3,2030-03,2030-03-01,0,0,5
43,2030,4,2030-04,2030-04-01,0,0,5
44,2030,5,2030-05,2030-05-01,0,0,5
45,2030,6,2030-06,2030-06-01,0,0,5
46,2030,7,2030-07,2030-07-01,0,0,5
47,2030,8,2030-08,2030-08-01,0,0,5
48,2030,9,2030-09,2030-09-01,0,0,5
49,2030,10,2030-10,2030-10-01,0,0,5
50,2030,11,2030-11,2030-11-01,0,0,5
51,2030,12,2030-12,2030-12-01,0,1,5
