event_id,event_type,event_name,month_seq,month_id,year,month
forecast_start,boundary,Forecast start,1,2026-10,2026,10
year_end_2026,period,Year end,3,2026-12,2026,12
year_start_2027,period,Year start,4,2027-01,2027,1
year_end_2027,period,Year end,15,2027-12,2027,12
year_start_2028,period,Year start,16,2028-01,2028,1
year_end_2028,period,Year end,27,2028-12,2028,12
year_start_2029,period,Year start,28,2029-01,2029,1
year_end_2029,period,Year end,39,2029-12,2029,12
year_start_2030,period,Year start,40,2030-01,2030,1
forecast_end,boundary,Forecast end,51,2030-12,2030,12
year_end_2030,period,Year end,51,2030-12,2030,12
