scenario,month_seq,month_id,year,month,core_team_payroll,sga_payroll,datacenter_opex,depreciation_and_amortization,monthly_operating_cost_total
build_own_dc,1,2026-10,2026,10,31948800.0,8502000.0,0.0,0.0,40450800.0
rent_gpu_only,1,2026-10,2026,10,31948800.0,8502000.0,0.0,0.0,40450800.0
hybrid,1,2026-10,2026,10,31948800.0,8502000.0,0.0,0.0,40450800.0
build_own_dc,2,2026-11,2026,11,31948800.0,8502000.0,0.0,0.0,40450800.0
rent_gpu_only,2,2026-11,2026,11,31948800.0,8502000.0,0.0,0.0,40450800.0
hybrid,2,2026-11,2026,11,31948800.0,8502000.0,0.0,0.0,40450800.0
build_own_dc,3,2026-12,2026,12,31948800.0,8502000.0,0.0,0.0,40450800.0
rent_gpu_only,3,2026-12,2026,12,31948800.0,8502000.0,0.0,0.0,40450800.0
hybrid,3,2026-12,2026,12,31948800.0,8502000.0,0.0,0.0,40450800.0
build_own_dc,4,2027-01,2027,1,41635776.0,8502000.0,0.0,0.0,50137776.0
rent_gpu_only,4,2027-01,2027,1,41635776.0,8502000.0,0.0,0.0,50137776.0
hybrid,4,2027-01,2027,1,41635776.0,8502000.0,0.0,0.0,50137776.0
build_own_dc,5,2027-02,2027,2,50459136.0,8502000.0,0.0,0.0,58961136.0
rent_gpu_only,5,2027-02,2027,2,50459136.0,8502000.0,0.0,0.0,58961136.0
hybrid,5,2027-02,2027,2,50459136.0,8502000.0,0.0,0.0,58961136.0
build_own_dc,6,2027-03,2027,3,50459136.0,8502000.0,0.0,0.0,58961136.0
rent_gpu_only,6,2027-03,2027,3,50459136.0,8502000.0,0.0,0.0,58961136.0
hybrid,6,2027-03,2027,3,50459136.0,8502000.0,0.0,0.0,58961136.0
build_own_dc,7,2027-04,2027,4,52730496.0,8502000.0,0.0,0.0,61232496.0
rent_gpu_only,7,2027-04,2027,4,52730496.0,8502000.0,0.0,0.0,61232496.0
hybrid,7,2027-04,2027,4,52730496.0,8502000.0,0.0,0.0,61232496.0
build_own_dc,8,2027-05,2027,5,52730496.0,8502000.0,0.0,0.0,61232496.0
rent_gpu_only,8,2027-05,2027,5,52730496.0,8502000.0,0.0,0.0,61232496.0
hybrid,8,2027-05,2027,5,52730496.0,8502000.0,0.0,0.0,61232496.0
build_own_dc,9,2027-06,2027,6,53778816.0,8502000.0,0.0,0.0,62280816.0
rent_gpu_only,9,2027-06,2027,6,53778816.0,8502000.0,0.0,0.0,62280816.0
hybrid,9,2027-06,2027,6,53778816.0,8502000.0,0.0,0.0,62280816.0
build_own_dc,10,2027-07,2027,7,56749056.0,8502000.0,0.0,0.0,65251056.0
rent_gpu_only,10,2027-07,2027,7,56749056.0,8502000.0,0.0,0.0,65251056.0
hybrid,10,2027-07,2027,7,56749056.0,8502000.0,0.0,0.0,65251056.0
build_own_dc,11,2027-08,2027,8,56749056.0,8502000.0,0.0,0.0,65251056.0
rent_gpu_only,11,2027-08,2027,8,56749056.0,8502000.0,0.0,0.0,65251056.0
hybrid,11,2027-08,2027,8,56749056.0,8502000.0,0.0,0.0,65251056.0
build_own_dc,12,2027-09,2027,9,59020416.0,8502000.0,0.0,0.0,67522416.0
rent_gpu_only,12,2027-09,2027,9,59020416.0,8502000.0,0.0,0.0,67522416.0
hybrid,12,2027-09,2027,9,59020416.0,8502000.0,0.0,0.0,67522416.0
build_own_dc,13,2027-10,2027,10,59020416.0,8502000.0,0.0,0.0,67522416.0
rent_gpu_only,13,2027-10,2027,10,59020416.0,8502000.0,0.0,0.0,67522416.0
hybrid,13,2027-10,2027,10,59020416.0,8502000.0,0.0,0.0,67522416.0
build_own_dc,14,2027-11,2027,11,59020416.0,8502000.0,0.0,0.0,67522416.0
rent_gpu_only,14,2027-11,2027,11,59020416.0,8502000.0,0.0,0.0,67522416.0
hybrid,14,2027-11,2027,11,59020416.0,8502000.0,0.0,0.0,67522416.0
build_own_dc,15,2027-12,2027,12,59020416.0,8502000.0,0.0,0.0,67522416.0
rent_gpu_only,15,2027-12,2027,12,59020416.0,8502000.0,0.0,0.0,67522416.0
hybrid,15,2027-12,2027,12,59020416.0,8502000.0,0.0,0.0,67522416.0
build_own_dc,16,2028-01,2028,1,71072601.6,8502000.0,0.05,0.02,79574601.67
rent_gpu_only,16,2028-01,2028,1,71072601.6,8502000.0,0.0,0.0,79574601.6
hybrid,16,2028-01,2028,1,71072601.6,8502000.0,0.05,0.02,79574601.67
build_own_dc,17,2028-02,2028,2,71072601.6,8502000.0,0.05,0.02,79574601.67
rent_gpu_only,17,2028-02,2028,2,71072601.6,8502000.0,0.0,0.0,79574601.6
hybrid,17,2028-02,2028,2,71072601.6,8502000.0,0.05,0.02,79574601.67
