month_seq,month_id,year,month,workplace_monthly_tokens,contact_center_monthly_tokens,monthly_total_tokens,weighted_throughput_tokens_per_sec_per_gpu,utilization,tokens_per_second,required_gpu
1,2026-10,2026,10,2084062500.0,1424257375.0,3508319875.0,322.291853,0.35,2707.036941,23.998097
2,2026-11,2026,11,2084062500.0,1424257375.0,3508319875.0,322.291853,0.35,2707.036941,23.998097
3,2026-12,2026,12,2084062500.0,1424257375.0,3508319875.0,322.291853,0.35,2707.036941,23.998097
4,2027-01,2027,1,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
5,2027-02,2027,2,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
6,2027-03,2027,3,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
7,2027-04,2027,4,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
8,2027-05,2027,5,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
9,2027-06,2027,6,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
10,2027-07,2027,7,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
11,2027-08,2027,8,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
12,2027-09,2027,9,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
13,2027-10,2027,10,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
14,2027-11,2027,11,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
15,2027-12,2027,12,9169875000.0,4272772125.0,13442647125.0,284.019187,0.4,10372.412905,91.300283
16,2028-01,2028,1,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
17,2028-02,2028,2,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
18,2028-03,2028,3,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
19,2028-04,2028,4,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
20,2028-05,2028,5,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
21,2028-06,2028,6,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
22,2028-07,2028,7,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
23,2028-08,2028,8,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
24,2028-09,2028,9,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
25,2028-10,2028,10,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
26,2028-11,2028,11,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
27,2028-12,2028,12,26453700000.0,8545544250.0,34999244250.0,254.323499,0.45,27005.589699,235.968842
28,2029-01,2029,1,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
29,2029-02,2029,2,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
30,2029-03,2029,3,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
31,2029-04,2029,4,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
32,2029-05,2029,5,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
33,2029-06,2029,6,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
34,2029-07,2029,7,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
35,2029-08,2029,8,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
36,2029-09,2029,9,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
37,2029-10,2029,10,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
38,2029-11,2029,11,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
39,2029-12,2029,12,75859875000.0,12818316375.0,88678191375.0,288.692863,0.5,68424.530382,474.029941
40,2030-01,2030,1,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
41,2030-02,2030,2,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
42,2030-03,2030,3,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
43,2030-04,2030,4,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
44,2030-05,2030,5,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
45,2030-06,2030,6,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
46,2030-07,2030,7,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
47,2030-08,2030,8,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
48,2030-09,2030,9,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
49,2030-10,2030,10,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
50,2030-11,2030,11,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
51,2030-12,2030,12,113539725000.0,17091088500.0,130630813500.0,343.223248,0.55,100795.380787,533.950803
