scenario,required_gpu,month_seq,month_id,year,month,workplace_revenue,contact_center_revenue,total_revenue,cogs,sga,depreciation_and_amortization,ebit,profit_tax,net_income,operating_cash_flow,investing_cash_flow,pre_financing_cash_flow,opening_cash_before_funding,closing_cash_before_funding,net_ppe,net_intangible_assets,total_assets_pre_funding,total_liabilities_pre_funding,total_equity_pre_funding,infrastructure_scenario,funding_scenario,equity_share,revolver_share,minimum_cash_balance,funding_need,equity_injection,revolver_drawdown,revolver_repayment,opening_revolver_balance,closing_revolver_balance,average_revolver_balance,monthly_revolver_interest_rate,interest_expense,ebt_after_interest,profit_tax_after_interest,net_income_after_interest,operating_cash_flow_after_interest,free_cash_flow_after_financing_costs,closing_cash_after_funding,cash,revolver_balance,paid_in_capital,retained_earnings,total_assets,total_liabilities,total_equity,balance_check
build_own_dc,23.998097,1,2026-10,2026,10,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,0.0,-40450800.0,0.0,0.0,-40450800.0,0.0,-40450800.0,build_own_dc,equity_only,1.0,0.0,40450800.0,80901600.0,80901600.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-40450800.0,40450800.0,40450800.0,0.0,80901600.0,-40450800.0,40450800.0,0.0,40450800.0,0.0
build_own_dc,23.998097,2,2026-11,2026,11,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,-40450800.0,-80901600.0,0.0,0.0,-80901600.0,0.0,-80901600.0,build_own_dc,equity_only,1.0,0.0,40450800.0,40450800.0,40450800.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-40450800.0,40450800.0,40450800.0,0.0,121352400.0,-80901600.0,40450800.0,0.0,40450800.0,0.0
build_own_dc,23.998097,3,2026-12,2026,12,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,-80901600.0,-121352400.0,0.0,0.0,-121352400.0,0.0,-121352400.0,build_own_dc,equity_only,1.0,0.0,40450800.0,40450800.0,40450800.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-40450800.0,40450800.0,40450800.0,0.0,161803200.0,-121352400.0,40450800.0,0.0,40450800.0,0.0
build_own_dc,91.300283,4,2027-01,2027,1,0.0,0.0,0.0,41635776.0,8502000.0,0.0,-50137776.0,0.0,-50137776.0,-50137776.0,-0.0,-50137776.0,-121352400.0,-171490176.0,0.0,0.0,-171490176.0,0.0,-171490176.0,build_own_dc,equity_only,1.0,0.0,50137776.0,59824752.0,59824752.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,-50137776.0,0.0,-50137776.0,-50137776.0,-50137776.0,50137776.0,50137776.0,0.0,221627952.0,-171490176.0,50137776.0,0.0,50137776.0,0.0
build_own_dc,91.300283,5,2027-02,2027,2,0.0,0.0,0.0,50459136.0,8502000.0,0.0,-58961136.0,0.0,-58961136.0,-58961136.0,-0.0,-58961136.0,-171490176.0,-230451312.0,0.0,0.0,-230451312.0,0.0,-230451312.0,build_own_dc,equity_only,1.0,0.0,58961136.0,67784496.0,67784496.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,-58961136.0,0.0,-58961136.0,-58961136.0,-58961136.0,58961136.0,58961136.0,0.0,289412448.0,-230451312.0,58961136.0,0.0,58961136.0,0.0
build_own_dc,91.300283,6,2027-03,2027,3,0.0,0.0,0.0,50459136.0,8502000.0,0.0,-58961136.0,0.0,-58961136.0,-58961136.0,-0.0,-58961136.0,-230451312.0,-289412448.0,0.0,0.0,-289412448.0,0.0,-289412448.0,build_own_dc,equity_only,1.0,0.0,58961136.0,58961136.0,58961136.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,-58961136.0,0.0,-58961136.0,-58961136.0,-58961136.0,58961136.0,58961136.0,0.0,348373584.0,-289412448.0,58961136.0,0.0,58961136.0,0.0
build_own_dc,91.300283,7,2027-04,2027,4,44962503.71,20950616.29,65913120.0,52730496.0,8502000.0,0.0,4680624.0,1170156.0,3510468.0,3510468.0,-0.0,3510468.0,-289412448.0,-285901980.0,0.0,0.0,-285901980.0,0.0,-285901980.0,build_own_dc,equity_only,1.0,0.0,61232496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,4680624.0,1170156.0,3510468.0,3510468.0,3510468.0,62471604.0,62471604.0,0.0,348373584.0,-285901980.0,62471604.0,0.0,62471604.0,0.0
build_own_dc,91.300283,8,2027-05,2027,5,44962503.71,20950616.29,65913120.0,52730496.0,8502000.0,0.0,4680624.0,1170156.0,3510468.0,3510468.0,-0.0,3510468.0,-285901980.0,-282391512.0,0.0,0.0,-282391512.0,0.0,-282391512.0,build_own_dc,equity_only,1.0,0.0,61232496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,4680624.0,1170156.0,3510468.0,3510468.0,3510468.0,65982072.0,65982072.0,0.0,348373584.0,-282391512.0,65982072.0,0.0,65982072.0,0.0
build_own_dc,91.300283,9,2027-06,2027,6,45856390.47,21367129.53,67223520.0,53778816.0,8502000.0,0.0,4942704.0,1235676.0,3707028.0,3707028.0,-0.0,3707028.0,-282391512.0,-278684484.0,0.0,0.0,-278684484.0,0.0,-278684484.0,build_own_dc,equity_only,1.0,0.0,62280816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,4942704.0,1235676.0,3707028.0,3707028.0,3707028.0,69689100.0,69689100.0,0.0,348373584.0,-278684484.0,69689100.0,0.0,69689100.0,0.0
build_own_dc,91.300283,10,2027-07,2027,7,48389069.6,22547250.4,70936320.0,56749056.0,8502000.0,0.0,5685264.0,1421316.0,4263948.0,4263948.0,-0.0,4263948.0,-278684484.0,-274420536.0,0.0,0.0,-274420536.0,0.0,-274420536.0,build_own_dc,equity_only,1.0,0.0,65251056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01876927,0.0,5685264.0,1421316.0,4263948.0,4263948.0,4263948.0,73953048.0,73953048.0,0.0,348373584.0,-274420536.0,73953048.0,0.0,73953048.0,0.0
