scenario,month_seq,month_id,year,month,construction_start_month_key,construction_end_month_key,owned_gpu_available_month_key,construction_start_flag,construction_active_flag,construction_completed_flag,required_gpu,owned_gpu,rented_gpu,owned_gpu_increment,gpu_capex,gpu_infra_capex,datacenter_construction_capex
build_own_dc,1,2026-10,2026,10,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0
rent_gpu_only,1,2026-10,2026,10,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0.0
hybrid,1,2026-10,2026,10,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0
build_own_dc,2,2026-11,2026,11,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0
rent_gpu_only,2,2026-11,2026,11,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0.0
hybrid,2,2026-11,2026,11,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0
build_own_dc,3,2026-12,2026,12,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0
rent_gpu_only,3,2026-12,2026,12,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0.0
hybrid,3,2026-12,2026,12,2028-01,2028-06,2028-07,0,0,0,23.998097,0.0,23.998097,0.0,0.0,0.0,0
build_own_dc,4,2027-01,2027,1,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,4,2027-01,2027,1,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,4,2027-01,2027,1,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,5,2027-02,2027,2,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,5,2027-02,2027,2,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,5,2027-02,2027,2,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,6,2027-03,2027,3,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,6,2027-03,2027,3,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,6,2027-03,2027,3,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,7,2027-04,2027,4,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,7,2027-04,2027,4,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,7,2027-04,2027,4,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,8,2027-05,2027,5,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,8,2027-05,2027,5,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,8,2027-05,2027,5,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,9,2027-06,2027,6,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,9,2027-06,2027,6,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,9,2027-06,2027,6,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,10,2027-07,2027,7,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,10,2027-07,2027,7,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,10,2027-07,2027,7,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,11,2027-08,2027,8,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,11,2027-08,2027,8,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,11,2027-08,2027,8,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,12,2027-09,2027,9,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,12,2027-09,2027,9,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,12,2027-09,2027,9,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,13,2027-10,2027,10,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
