infrastructure_scenario,funding_scenario,month_seq,month_id,assets,liabilities,equity,assets_minus_liabilities_minus_equity
build_own_dc,equity_only,1,2026-10,40450800.0,0.0,40450800.0,0.0
build_own_dc,equity_only,2,2026-11,40450800.0,0.0,40450800.0,0.0
build_own_dc,equity_only,3,2026-12,40450800.0,0.0,40450800.0,0.0
build_own_dc,equity_only,4,2027-01,50137776.0,0.0,50137776.0,0.0
build_own_dc,equity_only,5,2027-02,58961136.0,0.0,58961136.0,0.0
build_own_dc,equity_only,6,2027-03,58961136.0,0.0,58961136.0,0.0
build_own_dc,equity_only,7,2027-04,62471604.0,0.0,62471604.0,0.0
build_own_dc,equity_only,8,2027-05,65982072.0,0.0,65982072.0,0.0
build_own_dc,equity_only,9,2027-06,69689100.0,0.0,69689100.0,0.0
build_own_dc,equity_only,10,2027-07,73953048.0,0.0,73953048.0,0.0
build_own_dc,equity_only,11,2027-08,78216996.0,0.0,78216996.0,0.0
build_own_dc,equity_only,12,2027-09,82906824.0,0.0,82906824.0,0.0
build_own_dc,equity_only,13,2027-10,87596652.0,0.0,87596652.0,0.0
build_own_dc,equity_only,14,2027-11,92286480.0,0.0,92286480.0,0.0
build_own_dc,equity_only,15,2027-12,96976308.0,0.0,96976308.0,0.0
build_own_dc,equity_only,16,2028-01,108367958.12,0.0,108367958.41,-0.29
build_own_dc,equity_only,17,2028-02,119759608.54,0.0,119759608.83,-0.29
build_own_dc,equity_only,18,2028-03,131151258.96,0.0,131151259.24,-0.28
build_own_dc,equity_only,19,2028-04,142542909.38,0.0,142542909.66,-0.28
build_own_dc,equity_only,20,2028-05,153934559.8,0.0,153934560.07,-0.27
build_own_dc,equity_only,21,2028-06,166421704.62,0.0,166421704.89,-0.27
build_own_dc,equity_only,22,2028-07,178957169.89,0.0,178957252.27,-82.38
build_own_dc,equity_only,23,2028-08,191492799.65,0.0,191492795.56,4.09
build_own_dc,equity_only,24,2028-09,204028342.95,0.0,204028338.86,4.09
build_own_dc,equity_only,25,2028-10,216563886.25,0.0,216563882.16,4.09
build_own_dc,equity_only,26,2028-11,229099429.55,0.0,229099425.46,4.09
build_own_dc,equity_only,27,2028-12,241634972.85,0.0,241634968.75,4.1
build_own_dc,equity_only,28,2029-01,261576894.19,0.0,261576997.28,-103.09
build_own_dc,equity_only,29,2029-02,281519028.59,0.0,281519020.52,8.07
build_own_dc,equity_only,30,2029-03,301461051.83,0.0,301461043.76,8.07
build_own_dc,equity_only,31,2029-04,321403075.07,0.0,321403067.0,8.07
build_own_dc,equity_only,32,2029-05,341345098.31,0.0,341345090.24,8.07
build_own_dc,equity_only,33,2029-06,361287121.55,0.0,361287113.48,8.07
build_own_dc,equity_only,34,2029-07,381229144.79,0.0,381229136.72,8.07
build_own_dc,equity_only,35,2029-08,401171168.03,0.0,401171159.96,8.07
build_own_dc,equity_only,36,2029-09,421113191.27,0.0,421113183.2,8.07
